# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29023
#@/user_id	Win10-weasel
bao li 	暴力	c=1 d=1 t=12999
bao lu 	暴露	c=4 d=1.07948 t=15236
bao ming 	報名	c=1 d=1 t=5183
bao nuan 	保暖	c=1 d=1 t=13206
bao qian 	抱歉	c=1 d=1 t=9555
bao rong 	包容	c=1 d=1 t=15529
bao yan 	保研	c=1 d=1 t=17288
bao you 	抱有	c=2 d=1 t=15229
bao yuan 	報怨	c=1 d=1 t=17989
bao zao 	暴燥	c=1 d=1 t=10873
bao zha 	爆炸	c=2 d=1.00005 t=23167
bao zhu 	保住	c=2 d=1 t=23418
bao zi 	包子	c=1 d=1 t=27653
bei 	唄	c=1 d=1 t=13670
bei 	背	c=2 d=0.1 t=16317
bei 	被	c=41 d=1.40301 t=29023
bei dong 	被動	c=1 d=1 t=19612
bei huan li he 	悲歡離合	c=1 d=1 t=18200
bei jing 	北京	c=5 d=1 t=26031
bei jing 	背景	c=8 d=1 t=26168
bei lv 	被綠	c=1 d=1 t=13009
bei pian 	被騙	c=1 d=1 t=26672
bei ren 	被人	c=7 d=1.00063 t=28516
bei shang 	悲傷	c=2 d=0.1 t=18244
bei shang ku tong 	悲傷苦痛	c=1 d=1 t=18245
bei shu 	背書	c=3 d=2.44522 t=8508
bei tou 	被偷	c=1 d=1 t=6376
bei wo 	被窩	c=1 d=1 t=6613
bei xia lai 	背下來	c=1 d=1 t=16318
bei yong 	備用	c=1 d=1 t=27722
bei zhu 	備註	c=1 d=1 t=8210
bei zi 	杯子	c=1 d=1 t=21722
bei zi 	被子	c=3 d=1 t=27456
bei zi 	輩子	c=1 d=1 t=22425
ben 	本	c=2 d=1 t=27416
ben di 	本地	c=0 d=0.1 t=14173
ben di shu ju ku 	本地數據庫	c=1 d=1 t=14174
ben gai 	本該	c=1 d=1 t=4311
ben la ai 	本啦唉	c=1 d=1 t=13544
ben lai 	本來	c=22 d=1.00001 t=23306
ben lai jiu bu shi 	本來就不是	c=1 d=1 t=19405
ben lai jiu shi 	本來就是	c=1 d=1 t=845
ben lai she ji 	本来设计	c=1 d=1 t=1820
ben lai shi 	本來是	c=1 d=1 t=13531
ben neng 	本能	c=1 d=1 t=24343
ben shen 	本身	c=6 d=2.28363 t=25129
ben shi 	本事	c=3 d=1.91851 t=19923
ben wo 	本我	c=1 d=1 t=25103
ben yuan 	本院	c=1 d=1 t=8274
ben zhi 	本質	c=7 d=2.41876 t=25668
ben zi 	本子	c=1 d=1 t=23908
beng kao 	泵靠	c=1 d=1 t=28618
beng kui 	崩潰	c=3 d=0.238115 t=29023
bi 	必	c=1 d=1 t=8693
bi 	比	c=18 d=1.47397 t=28390
bi 	畢	c=1 d=1 t=18429
bi bi 	哔哔	c=1 d=1 t=27994
bi bu ke shao 	必不可少	c=1 d=1 t=1650
bi bu shang 	比不上	c=1 d=1 t=12345
bi er ne 	比尔呢	c=1 d=1 t=2810
bi hu 	庇護	c=1 d=1 t=19335
bi ji 	筆記	c=3 d=1.00051 t=23813
bi jiao 	比較	c=32 d=0.431902 t=29023
bi jiao yuan 	比較遠	c=1 d=1 t=7533
bi jiao zao 	比較早	c=1 d=1 t=11349
bi jing 	畢竟	c=10 d=1 t=27331
bi lei 	壁壘	c=9 d=6.6946 t=16990
bi li 	比例	c=3 d=2.60743 t=4084
bi li 	臂力	c=1 d=1 t=4566
bi liang 	鼻樑	c=1 d=1 t=3893
bi lie 	鄙劣	c=1 d=1 t=16920
bi lu 	筆錄	c=1 d=1 t=8739
bi men zao ju 	閉門造車	c=1 d=1 t=22302
bi mian 	避免	c=3 d=1 t=13432
bi ni 	比你	c=1 d=1 t=16851
bi po 	逼迫	c=2 d=1.96561 t=15753
bi qi 	比起	c=5 d=0.280851 t=29023
bi ran 	必然	c=2 d=1 t=10483
bi ren 	逼人	c=1 d=1 t=15117
bi ru 	比如	c=60 d=0.113042 t=29023
bi ru shuo 	比如說	c=1 d=1 t=18398
bi she 	毕设	c=2 d=1.9802 t=7403
bi shi 	鄙視	c=1 d=1 t=6577
bi ta 	比她	c=1 d=1 t=14603
bi wo 	比我	c=1 d=1 t=10972
bi wo 	逼我	c=2 d=1.01703 t=21805
bi wo de 	逼我的	c=1 d=1 t=21452
bi wo hao 	比我好	c=1 d=1 t=10970
bi xiu 	必修	c=1 d=1 t=6155
bi xu 	必須	c=5 d=1 t=21139
bi xu yao 	必须要	c=1 d=1 t=10564
bi yan 	鼻炎	c=1 d=1 t=6239
bi yao 	必要	c=10 d=1.00146 t=23873
bi yao 	碧瑤	c=1 d=1 t=2817
bi ye 	畢業	c=9 d=1.00012 t=12905
bi ye 	閉業	c=1 d=1 t=25969
bi ye zhao 	畢業照	c=1 d=1 t=7488
bi you 	必有	c=0 d=0.1 t=18438
bi yu 	比喻	c=1 d=1 t=1036
bi zi 	鼻子	c=2 d=1 t=20840
bian 	變	c=3 d=1 t=28213
bian 	遍	c=2 d=1 t=21233
bian chang 	邊唱	c=1 d=1 t=16186
bian cheng 	編程	c=3 d=1 t=24486
bian cheng 	變成	c=4 d=1.7827 t=21495
bian de 	變得	c=3 d=1 t=24344
bian di 	變低	c=1 d=1 t=16900
bian geng 	變更	c=1 d=1 t=793
bian guan 	邊關	c=2 d=1.89137 t=4967
bian hua 	變化	c=8 d=1.12748 t=25582
bian huai 	變壞	c=4 d=3.58683 t=23693
bian ji 	編輯	c=2 d=1 t=28942
bian ji qi 	編輯器	c=1 d=1 t=11593
bian kan 	邊看	c=1 d=1 t=16185
bian lun sai 	辯論賽	c=1 d=1 t=5245
bian ren 	辨認	c=1 d=1 t=3903
bian xian 	變現	c=2 d=1 t=15336
bian xie 	編寫	c=1 d=1 t=5023
bian xue 	邊學	c=1 d=1 t=23793
bian yi 	變異	c=2 d=1.48191 t=24708
bian yuan 	邊緣	c=1 d=1 t=9953
bian zhong 	變種	c=1 d=1 t=3984
bian zuo 	邊做	c=1 d=1 t=23792
biao 	表	c=3 d=1.04649 t=28963
biao da 	表達	c=6 d=2.57881 t=21589
biao lu 	表露	c=2 d=1 t=26871
biao mian 	表面	c=4 d=1.02337 t=14662
biao qing 	表情	c=2 d=1 t=4000
biao shi 	表示	c=2 d=1 t=23437
biao shu 	表述	c=1 d=1 t=11822
biao ti 	標題	c=1 d=1 t=10232
biao xian 	表現	c=8 d=1.06266 t=26082
biao xian xing 	表现性	c=1 d=1 t=3090
biao xiang 	表象	c=1 d=1 t=13495
biao yan 	表演	c=6 d=1.00203 t=6281
biao zheng 	表徵	c=2 d=1 t=23360
biao zhun 	標準	c=5 d=1 t=20760
bie 	別	c=2 d=0.1 t=21548
bie kan 	別看	c=1 d=1 t=12301
bie niu 	彆扭	c=1 d=1 t=2947
bie ren 	別人	c=60 d=3.47937 t=28907
bie ren cha 	別人差	c=1 d=1 t=4675
bie ren chi 	別人吃	c=1 d=1 t=1081
bie ren de 	別人的	c=1 d=1 t=4861
bie ren jia 	別人家	c=1 d=1 t=1201
bie shu 	別墅	c=1 d=1 t=7186
bie wu 	別無	c=1 d=1 t=9552
bie you 	別有	c=1 d=1 t=21867
bing 	病	c=1 d=0.35924 t=18856
bing bu 	並不	c=0 d=0.1 t=18143
bing bu ke pa 	並不可怕	c=1 d=1 t=18144
bing bu shi 	並不是	c=2 d=1 t=18415
bing bu zai 	並不在	c=0 d=0.1 t=16809
bing bu zai yu 	並不在於	c=1 d=1 t=16810
bing du 	冰毒	c=1 d=1 t=20827
bing du 	病毒	c=3 d=1.06457 t=27856
bing leng 	冰冷	c=3 d=1.92774 t=9408
bing mei you 	並沒有	c=10 d=0.729789 t=29023
bing qie 	並且	c=5 d=1.00477 t=16547
bing tai 	病態	c=2 d=1.99501 t=21528
bing xing 	並行	c=1 d=1 t=24127
bo dong 	波動	c=2 d=1.96561 t=24817
bo fang qi 	播放器	c=1 d=1 t=16155
bo fu 	伯父	c=1 d=1 t=8177
bo li 	剝離	c=2 d=0.100581 t=7535
