# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	942
#@/user_id	4fb8f7d9-104e-4807-ad03-13bea3f26262
a 	啊	c=3 d=1.38235 t=942
fen lei 	分類	c=1 d=0.537944 t=942
fen pei 	分配	c=2 d=0.144594 t=942
fen ye 	分頁	c=1 d=0.995012 t=942
fou 	否	c=-1 d=0.946485 t=942
fu 	副	c=-1 d=0 t=942
fu he 	複合	c=1 d=0.416862 t=942
gai bian 	改變	c=2 d=1.51012 t=942
gai lian 	蓋臉	c=1 d=0.343009 t=942
gai nian 	概念	c=1 d=0.344728 t=942
gan jue 	感覺	c=8 d=2.38979 t=942
gao 	高	c=0 d=0.00713613 t=942
gao deng 	高等	c=1 d=0.650509 t=942
gao du 	高度	c=1 d=0.923116 t=942
gao jie 	高階	c=1 d=0.814647 t=942
gao le 	高了	c=1 d=0.298197 t=942
gao zhong 	高中	c=1 d=0.116484 t=942
ge 	個	c=0 d=0.0794534 t=942
ge ge bu ru 	格格不入	c=1 d=0.489192 t=942
gei ding 	給定	c=1 d=0.45612 t=942
gei wo 	給我	c=1 d=0.0695994 t=942
gen 	跟	c=3 d=1.65585 t=942
gen ben 	根本	c=1 d=0.423162 t=942
gen ni 	跟你	c=1 d=0.852144 t=942
gong ju 	工具	c=1 d=0.99005 t=942
gong si 	公司	c=1 d=0.869358 t=942
gong zuo 	工作	c=3 d=0.413809 t=942
gou cheng 	構成	c=1 d=0.421052 t=942
gou de 	夠的	c=1 d=0.19398 t=942
gou de 	購得	c=1 d=0.193013 t=942
gu yi 	故意	c=0 d=0.099005 t=942
guan 	管	c=1 d=0.0731678 t=942
guan xi 	關係	c=3 d=1.11778 t=942
guo le 	過了	c=1 d=0.0665368 t=942
ha ha 	哈哈	c=2 d=1.86013 t=942
hai shi 	還是	c=5 d=1.54034 t=942
han shu 	函數	c=18 d=9.72902 t=942
hao 	好	c=2 d=0.995012 t=942
hao chu 	好處	c=2 d=0.327898 t=942
hao hao 	好好	c=2 d=0.482854 t=942
hao leng 	好冷	c=2 d=0.47388 t=942
hao ren 	好人	c=2 d=1.6131 t=942
hao yi dian 	好一點	c=1 d=0.88692 t=942
he 	和	c=13 d=3.78191 t=942
hei bai 	黑白	c=1 d=0.99005 t=942
hen 	很	c=5 d=3.11479 t=942
hen bu cuo 	很不錯	c=2 d=0.555771 t=942
hen bu ming que 	很不明確	c=1 d=0.71177 t=942
hen bu shuang 	很不爽	c=1 d=0.0713613 t=942
hen duo 	很多	c=4 d=1.13107 t=942
hen duo shi hou 	很多時候	c=1 d=0.421052 t=942
