# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8552
#@/user_id	Mac-squirrel
bo long 	波龍	c=1 d=0.0617291 t=8552
bo rui 	博睿	c=2 d=1.62248e-05 t=8552
bo zi 	脖子	c=1 d=0.501576 t=8552
bu 	不	c=14 d=0.243841 t=8552
bu 	步	c=0 d=1.29468e-10 t=8552
bu 	補	c=1 d=0.000218749 t=8552
bu 	部	c=5 d=0.402532 t=8552
bu chi 	不吃	c=1 d=0.0347381 t=8552
bu chong 	補充	c=3 d=0.00371042 t=8552
bu chong xia 	補充下	c=1 d=4.73912e-10 t=8552
bu chu lai 	不出來	c=1 d=3.26558e-11 t=8552
bu chu li 	部處理	c=1 d=8.06816e-05 t=8552
bu cun zai 	不存在	c=3 d=0.245387 t=8552
bu cuo 	不錯	c=3 d=0.847894 t=8552
bu da 	不打	c=1 d=5.31488e-06 t=8552
bu dao 	不到	c=1 d=0.752014 t=8552
bu dong 	不懂	c=1 d=0.00550541 t=8552
bu dou shi 	不都是	c=1 d=3.98099e-18 t=8552
bu dui 	不對	c=6 d=0.0191733 t=8552
bu duo 	不多	c=1 d=0.00390694 t=8552
bu fa 	補發	c=1 d=8.85233e-08 t=8552
bu fa song 	不發送	c=1 d=2.11441e-15 t=8552
bu fang qi 	不放棄	c=1 d=0.763379 t=8552
bu fen 	部分	c=3 d=9.56e-11 t=8552
bu guan 	不管	c=2 d=0.0306538 t=8552
bu guo 	不過	c=10 d=1.36174 t=8552
bu hao 	不好	c=3 d=0.965857 t=8552
bu hao kan 	不好看	c=1 d=4.35368e-12 t=8552
bu hao wan 	不好玩	c=1 d=2.02068e-11 t=8552
bu he shi 	不合適	c=3 d=2.2605e-11 t=8552
bu huang 	不慌	c=1 d=1.78234e-05 t=8552
bu hui 	不會	c=10 d=1.49467e-06 t=8552
bu huo 	捕獲	c=1 d=6.2123e-18 t=8552
bu ji 	不急	c=1 d=2.75646e-17 t=8552
bu ji 	不計	c=1 d=3.38305e-15 t=8552
bu ji 	卜吉	c=0 d=1.25727e-18 t=8552
bu ji 	補集	c=1 d=3.71893e-11 t=8552
bu ji dao 	卜吉到	c=3 d=0.313734 t=8552
bu ji de 	不記得	c=1 d=0.0505395 t=8552
bu jiu 	不就	c=2 d=0.00114197 t=8552
bu jiu de le 	不就得了	c=1 d=4.3559e-18 t=8552
bu jiu shi 	不就是	c=1 d=4.32299e-17 t=8552
bu kai fang 	不開放	c=1 d=4.11215e-17 t=8552
bu ke jian 	不可見	c=2 d=0.0361079 t=8552
bu liao 	不了	c=8 d=0.873716 t=8552
bu lun 	不論	c=1 d=0.000973123 t=8552
bu ming 	不明	c=0 d=2.45492e-08 t=8552
bu ming xian 	不明顯	c=1 d=2.46723e-07 t=8552
bu nan 	不難	c=1 d=0.225373 t=8552
bu neng 	不能	c=15 d=0.424807 t=8552
bu pa 	不怕	c=1 d=2.5358e-06 t=8552
bu qi 	不氣	c=1 d=9.03036e-12 t=8552
bu qi lai 	不起來	c=0 d=2.35947e-12 t=8552
bu qing 	不清	c=0 d=2.70096e-14 t=8552
bu qing chu 	不清楚	c=4 d=0.00027763 t=8552
bu que ding 	不確定	c=1 d=0.00612731 t=8552
bu ran 	不然	c=9 d=0.537944 t=8552
bu shan 	不刪	c=1 d=0.172045 t=8552
bu shang 	不上	c=1 d=1.5201e-15 t=8552
bu shi 	不是	c=36 d=1.88993 t=8552
bu shu 	部署	c=3 d=0.25429 t=8552
bu shu ju 	補數據	c=2 d=0.00573362 t=8552
bu shuang 	不爽	c=1 d=2.34084e-06 t=8552
bu shuo 	不說	c=1 d=9.54503e-12 t=8552
bu suan 	不算	c=2 d=0.0328777 t=8552
bu tai 	不太	c=3 d=6.37003e-14 t=8552
bu tai dong 	不太懂	c=1 d=7.36222e-16 t=8552
bu ti jiao 	不提交	c=1 d=5.17467e-15 t=8552
bu tong 	不痛	c=1 d=6.46253e-12 t=8552
bu wen ding 	不穩定	c=1 d=2.39431e-07 t=8552
bu xiang 	不想	c=4 d=0.826959 t=8552
bu xiang 	不香	c=3 d=0.399101 t=8552
bu xing 	不行	c=9 d=0.621885 t=8552
bu xiu gai 	不修改	c=1 d=1.55107e-17 t=8552
bu xu yao 	不需要	c=2 d=4.89442e-07 t=8552
bu y 	不<(=～￣▽￣)～	c=1 d=0.000139481 t=8552
bu y yang 	不<(=～￣▽￣)～樣	c=1 d=0.0014018 t=8552
bu yao 	不要	c=9 d=0.341298 t=8552
bu yao cuo guo 	不要錯過	c=0 d=3.33325e-18 t=8552
bu yao dong bu dong 	不要動不動	c=1 d=1.20195e-17 t=8552
bu yi 	不宜	c=1 d=6.02665e-14 t=8552
bu yi yang 	不一樣	c=2 d=0.000333375 t=8552
bu yi zhi 	不一致	c=1 d=2.3016e-13 t=8552
bu ying 	不應	c=1 d=0.000119165 t=8552
bu ying gai 	不應該	c=2 d=0.373439 t=8552
bu ying xiang 	部影響	c=1 d=1.18305e-07 t=8552
bu yong 	不用	c=11 d=0.192843 t=8552
bu yong le 	不用了	c=2 d=3.13683e-14 t=8552
bu yun xu 	不允許	c=2 d=0.0629761 t=8552
bu zai 	不在	c=2 d=0.177284 t=8552
bu zao 	不早	c=0 d=0.00544757 t=8552
bu zao shuo 	不早說	c=1 d=0.0547488 t=8552
bu zhang 	不長	c=1 d=1.08927e-06 t=8552
bu zhi 	不止	c=1 d=8.4876e-13 t=8552
bu zhi 	不知	c=1 d=2.95582e-15 t=8552
bu zhi chi 	不支持	c=1 d=0.0342181 t=8552
bu zhi dao 	不知道	c=14 d=0.581541 t=8552
bu zhi wo yi ge 	不止我一個	c=1 d=1.42468e-17 t=8552
bu zu 	不足	c=0 d=2.57632e-17 t=8552
bu zu yi 	不足以	c=1 d=8.32095e-15 t=8552
cai 	才	c=4 d=0.0011769 t=8552
cai ce 	猜測	c=1 d=6.97914e-05 t=8552
cai dan 	菜單	c=1 d=7.46967e-10 t=8552
cai hui 	纔會	c=1 d=9.75642e-05 t=8552
cai ji 	菜雞	c=1 d=0.559898 t=8552
cai neng 	才能	c=3 d=0.392586 t=8552
cai shi 	纔是	c=3 d=0.302704 t=8552
cai tuan 	財團	c=1 d=4.45085e-07 t=8552
cai xing 	才行	c=1 d=3.2398e-06 t=8552
cai you 	纔有	c=1 d=7.73574e-10 t=8552
cai zhi dao 	才知道	c=1 d=1.9569e-16 t=8552
can 	參	c=2 d=0.00121259 t=8552
can 	慘	c=5 d=2.83072e-06 t=8552
can 	燦	c=1 d=1.84739e-15 t=8552
can shu 	參數	c=5 d=1.26599e-10 t=8552
can shu ming 	參數名	c=1 d=4.77764e-17 t=8552
cang ku 	倉庫	c=1 d=6.79156e-08 t=8552
cao ni 	草擬	c=1 d=4.26747e-12 t=8552
cao zuo 	操作	c=5 d=0.0444091 t=8552
ce 	測	c=6 d=5.67472e-07 t=8552
ce bu liao 	測不了	c=1 d=1.4936e-14 t=8552
ce hua 	策劃	c=0 d=1.74853e-16 t=8552
ce hua shi 	策劃是	c=3 d=3.78362e-08 t=8552
ce lve 	策略	c=1 d=3.22364e-06 t=8552
ce shi 	測試	c=46 d=0.0366381 t=8552
ceng jing 	曾經	c=1 d=1.58596e-14 t=8552
cha 	查	c=3 d=0.000221951 t=8552
cha bu chu 	查不出	c=1 d=2.42505e-10 t=8552
cha bu dao 	查不到	c=1 d=0.000128446 t=8552
cha bu duo 	差不多	c=1 d=4.82483e-15 t=8552
cha chu 	查出	c=1 d=2.48002e-09 t=8552
cha de 	差得	c=1 d=0.165299 t=8552
cha jia 	差價	c=1 d=4.02935e-13 t=8552
cha jian 	插件	c=2 d=1.12516e-05 t=8552
cha ju 	差距	c=0 d=0.012493 t=8552
cha kan 	查看	c=5 d=0.861442 t=8552
cha le 	查了	c=1 d=1.70977e-16 t=8552
cha xun 	查詢	c=3 d=0.133347 t=8552
cha zhao 	查找	c=2 d=6.98151e-09 t=8552
chan 	饞	c=1 d=3.05164e-08 t=8552
chang 	長	c=1 d=0.00629761 t=8552
chang fen 	腸粉	c=1 d=6.71005e-13 t=8552
chang ge 	唱歌	c=2 d=0.92494 t=8552
chang jing 	場景	c=1 d=8.79292e-17 t=8552
chang ke 	常客	c=5 d=7.14912e-07 t=8552
chang lian jie 	長連接	c=1 d=0.0632918 t=8552
chang shi xing 	嘗試性	c=1 d=6.30297e-12 t=8552
chao 	抄	c=1 d=0.00436124 t=8552
chao 	超	c=1 d=0.079659 t=8552
chao fu he 	超負荷	c=1 d=0.737123 t=8552
chao ge 	超哥	c=1 d=3.8901e-11 t=8552
chao guo 	超過	c=1 d=3.95024e-15 t=8552
chao xi 	抄襲	c=1 d=0.00416933 t=8552
chen 	陳	c=3 d=2.00895e-07 t=8552
cheng 	成	c=1 d=9.28217e-07 t=8552
cheng 	撐	c=0 d=2.60762e-12 t=8552
cheng bu dao 	撐不到	c=1 d=2.62069e-11 t=8552
cheng gong 	成功	c=2 d=1.50058e-10 t=8552
cheng jia 	成家	c=2 d=5.03668e-12 t=8552
cheng shi 	城市	c=1 d=3.28083e-07 t=8552
chi gou 	吃夠	c=1 d=3.85336e-17 t=8552
chi guo 	吃過	c=1 d=0.000633025 t=8552
chi ji 	吃雞	c=1 d=4.19652e-17 t=8552
chi xu 	持續	c=3 d=1.27097 t=8552
